id,group,stage,utc_date,status,home,away,home_score,away_score,minute,venue
of-0,Group A,GROUP_STAGE,2026-06-11T19:00:00+00:00,FINISHED,Mexico,South Africa,2,0,,Mexico City
of-1,Group A,GROUP_STAGE,2026-06-12T02:00:00+00:00,FINISHED,South Korea,Czech Republic,2,1,,Guadalajara (Zapopan)
of-2,Group A,GROUP_STAGE,2026-06-18T16:00:00+00:00,FINISHED,Czech Republic,South Africa,1,1,,Atlanta
of-3,Group A,GROUP_STAGE,2026-06-19T01:00:00+00:00,SCHEDULED,Mexico,South Korea,,,,Guadalajara (Zapopan)
of-4,Group A,GROUP_STAGE,2026-06-25T01:00:00+00:00,SCHEDULED,Czech Republic,Mexico,,,,Mexico City
of-5,Group A,GROUP_STAGE,2026-06-25T01:00:00+00:00,SCHEDULED,South Africa,South Korea,,,,Monterrey (Guadalupe)
of-6,Group B,GROUP_STAGE,2026-06-12T19:00:00+00:00,FINISHED,Canada,Bosnia & Herzegovina,1,1,,Toronto
of-7,Group B,GROUP_STAGE,2026-06-13T19:00:00+00:00,FINISHED,Qatar,Switzerland,1,1,,San Francisco Bay Area (Santa Clara)
of-8,Group B,GROUP_STAGE,2026-06-18T19:00:00+00:00,SCHEDULED,Switzerland,Bosnia & Herzegovina,,,,Los Angeles (Inglewood)
of-9,Group B,GROUP_STAGE,2026-06-18T22:00:00+00:00,SCHEDULED,Canada,Qatar,,,,Vancouver
of-10,Group B,GROUP_STAGE,2026-06-24T19:00:00+00:00,SCHEDULED,Switzerland,Canada,,,,Vancouver
of-11,Group B,GROUP_STAGE,2026-06-24T19:00:00+00:00,SCHEDULED,Bosnia & Herzegovina,Qatar,,,,Seattle
of-12,Group C,GROUP_STAGE,2026-06-13T22:00:00+00:00,FINISHED,Brazil,Morocco,1,1,,New York/New Jersey (East Rutherford)
of-13,Group C,GROUP_STAGE,2026-06-14T01:00:00+00:00,FINISHED,Haiti,Scotland,0,1,,Boston (Foxborough)
of-14,Group C,GROUP_STAGE,2026-06-19T22:00:00+00:00,SCHEDULED,Scotland,Morocco,,,,Boston (Foxborough)
of-15,Group C,GROUP_STAGE,2026-06-20T00:30:00+00:00,SCHEDULED,Brazil,Haiti,,,,Philadelphia
